"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-1979228644,"ESSFwh 3 /Wf04","Barclay's willow – Water sedge – Glow moss","Salix barclayi – Carex aquatilis – Aulacomnium palustre",11
-1979010925,"SBS mc 1 /04","Sxw – Huckleberry – Labrador tea","Picea engelmannii x glauca – Vaccinium membranaceum – Rhododendron groenlandicum",11
-1978048180,"MS  dw   /Rt08","Aspen – Douglas maple – Saskatoon","Populus tremuloides – Acer glabrum – Amelanchier alnifolia",11
-1977840149,"MH  wh 1 /03","SsHm – Reedgrass","Picea sitchensis – Tsuga mertensiana – Picea sitchensis – Gaultheria shallon – Calamagrostis nutkaensis",11
-1976424997,"BG  xw 2 /Rt04","Saskatoon – Bluebunch wheatgrass [Big sagebrush]","Amelanchier alnifolia – Pseudoroegneria spicata",11
-1975215188,"ICH wk 1 /Wm06","Great bulrush","Schoenoplectus acutus",11
-1973010573,"CWH dm   /01","Hw – Flat moss","Tsuga heterophylla – Buckiella undulata",11
-1970233344,"ESSFmw   /03","Fd – Falsebox – Pinegrass","Pseudotsuga menziesii – Paxistima myrsinites – Calamagrostis rubescens",11
-1969435703,"SBS mc 3 /09","SbSxw – Scrub birch – Sedge","Picea mariana – Picea engelmannii x glauca – Betula nana – Carex spp.",11
-1968876787,"SBS mc 2 /03","SbPl – Feathermoss","Picea mariana – Pinus contorta – Pleurozium schreberi",11
-1967728791,"ESSFmh   /102","FdPl – Juniper – Falsebox","Pseudotsuga menziesii – Pinus contorta – Juniperus communis – Paxistima myrsinites",11
-1967109998,"ICH xw   /Wm02","Swamp horsetail – Beaked sedge","Equisetum fluviatile – Carex utriculata",11
-1966484966,"ESSFdk 1 /Rt07.2","Juniper – Rocktripe","Juniperus communis –  Umbilicaria sp.",11
-1965633072,"ESSFdkw  /Rt01","Rocktripe – Green map","Umbilicaria sp. – Rhizocarpon geographicum",11
-1963194874,"ICH mk 4 /Wm15","Bluejoint – Water sedge","Calamagrostis canadensis – Carex aquatilis",11
-1963155998,"BWBSdk   /Wf01","Water sedge – Beaked sedge","Carex aquatilis – Carex utriculata",11
-1962478983,"ICH mk 2 /03","Fd – Falsebox – Pinegrass","Pseudotsuga menziesii – Paxistima myrsinites – Calamagrostis rubescens",11
-1961621369,"CWH wh 1 /105b","CwSs – Sword fern; Limestone phase","Thuja plicata – Picea sitchensis – Polystichum munitum",11
-1958966075,"ICH dw 1 /101","CwFd – Prince's pine – Twinflower","Thuja plicata – Pseudotsuga menziesii – Chimaphila umbellata – Linnaea borealis",11
-1956710778,"SBS mk 1 /08","Sxw – Devil's club","Picea engelmannii x glauca – Oplopanax horridus",11
-1956099548,"ESSFdk 2 /Vs10.2","Barclay's willow – Cow-parsnip – Fireweed","Salix barclayi – Heracleum maximum – Chamerion angustifolium",11
-1956079796,"SBS wk 3 /06","Sxw – Twinberry – Coltsfoot","Picea engelmannii x glauca – Lonicera involucrata – Petasites frigidus",11
-1953092200,"IDF xk   /Ff01a","Water birch – Red-osier dogwood – Rose","Betula occidentalis – Cornus sericea – Rosa acicularis",11
-1952999084,"ICH mm   /06","CwSxw – Devil's club – Horsetail","Thuja plicata – Picea engelmannii x glauca – Oplopanax horridus",11
-1951307481,"ICH mw 5 /Fm02","Cottonwood – Spruce – Dogwood","Populus balsamifera – Picea sp. – Alnus incana – Cornus sericea",11
-1950892047,"ICH dw 4 /Ro05","Juniper – Kinnikinnick – Penstemon","Juniperus communis – Arctostaphylos uva-ursi – Penstemon fruticosa",11
-1950283446,"ESSFdk 1 /Vs10.2","Barclay's willow – Cow-parsnip – Fireweed","Salix barclayi – Heracleum maximum – Chamerion angustifolium",11
-1949617848,"ESSFwm 1 /Gg14","Idaho fescue – Sulphur buckwheat – Sandwort","Festuca idahoensis – Eriogonum umbellatum – Eremigone capillaris",11
-1946254459,"ICH mw 2 /Ws01","Mountain alder – Skunk cabbage – Lady fern","Alnus incana – Lysichiton americanus – Athyrium filix-femina",11
-1945663814,"ICH mw 1 /Wf05","Slender sedge – Common hook moss","Carex lasiocarpa – Drepanocladus aduncus",11
-1945341774,"BWBSdk   /103$6B.1","$At – Kinnikinnick – Fuzzy-spiked wildrye","Populus tremuloides – Arctostaphylos uva-ursi – Leymus innovatus",11
-1943766431,"ESSFmh   /112b","SeBl – Horsetail – Canby's lovage; Swamp phase","Picea engelmannii – Abies lasiocarpa – Equisetum arvense – Ligusticum canbyi ",11
-1942779502,"ESSFwc 3 /01","Bl – Rhododendron – Oak fern","Abies lasiocarpa – Rhododendron albiflorum – Gymnocarpium dryopteris",11
-1942225597,"ESSFwm 3 /Vs10","Willow – Cow-parsnip – Fireweed","Salix sp. – Heracleum maximum – Chamerion angustifolium",11
-1940702228,"SBS wk 1 /16","Sb – Buckbean – Peat moss","Picea mariana – Menyanthes trifoliata – Sphagnum spp.",11
-1940378220,"BWBSdk   /Wb09","Sb – Horsetail – Peat moss","Picea mariana – Equisetum arvense – Sphagnum spp.",11
-1938605310,"ICH dw 1 /Wm06","Great bulrush","Schoenoplectus acutus",11
-1936902061,"MS  dk   /Vs10.2","Barclay's willow – Cow-parsnip – Fireweed","Salix barclayi – Heracleum maximum – Chamerion angustifolium",11
-1936900272,"MS  mw 1 /Ws07","Sxw – Common horsetail – Leafy moss","Picea engelmannii x glauca – Equisetum arvense – Carex disperma – Rhizomnium sp.",11
-1936414533,"ESSFwh 1 /101","BlHw – Rhododendron – Foamflower","Abies lasiocarpa – Tsuga heterophylla – Rhododendron albiflorum – Tiarella trifoliata",11
-1935390060,"ICH mk 4 /111","CwSxw – Devil's club","Thuja plicata – Picea engelmannii x glauca –  Oplopanax horridus",11
