"User","InTime","OutTime","LocalMachine"
"puket",11/15/2018 14:54:40,11/15/2018 14:56:19,"I7C"
"puket",11/15/2018 14:56:24,11/15/2018 14:56:30,"I7C"
"puket",11/16/2018 7:15:04,11/16/2018 7:15:28,"I7C"
"puket",11/16/2018 7:15:33,11/16/2018 19:56:16,"I7C"
"puket",11/18/2018 8:14:55,11/18/2018 8:16:14,"I7C"
"puket",11/18/2018 8:16:16,11/18/2018 8:16:22,"I7C"
"puket",11/18/2018 8:16:23,11/18/2018 8:16:46,"I7C"
"puket",11/21/2018 10:10:09,11/21/2018 10:28:45,"I7C"
"puket",11/21/2018 10:28:52,11/21/2018 10:29:15,"I7C"
"puket",11/21/2018 11:34:23,11/21/2018 11:36:33,"I7C"
"puket",11/22/2018 5:48:32,11/22/2018 5:48:50,"I7C"
"puket",11/22/2018 5:49:01,11/22/2018 5:49:04,"I7C"
"puket",11/26/2018 7:51:28,11/26/2018 9:19:56,"I7C"
"puket",11/26/2018 9:40:12,11/26/2018 9:43:26,"I7C"
"puket",11/29/2018 7:12:49,11/29/2018 7:36:19,"I7C"
"puket",12/3/2018 7:03:30,12/3/2018 7:08:40,"I7C"
"puket",12/3/2018 7:12:21,12/3/2018 7:17:47,"I7C"
"puket",12/3/2018 7:40:43,12/3/2018 9:45:59,"I7C"
"puket",12/3/2018 10:46:42,12/3/2018 15:19:19,"I7C"
"puket",12/4/2018 9:39:56,12/4/2018 9:40:14,"I7C"
"puket",12/4/2018 9:40:20,12/4/2018 11:28:31,"I7C"
"puket",12/4/2018 13:52:06,12/4/2018 13:52:22,"I7C"
"puket",12/4/2018 14:00:02,12/4/2018 15:39:24,"I7C"
"puket",12/5/2018 6:55:06,12/5/2018 7:52:19,"I7C"
"puket",12/5/2018 8:02:52,12/5/2018 10:09:31,"I7C"
"puket",12/6/2018 6:26:51,12/6/2018 6:26:53,"I7C"
"puket",12/10/2018 7:59:04,12/10/2018 8:00:24,"I7C"
"puket",12/11/2018 7:32:27,12/11/2018 7:34:12,"I7C"
"puket",12/27/2018 11:49:47,12/27/2018 17:30:53,"I7C"
"puket",1/2/2019 8:32:45,1/2/2019 21:15:47,"I7C"
"puket",1/3/2019 6:39:12,1/3/2019 7:59:29,"I7C"
"puket",1/8/2019 6:38:09,1/8/2019 6:47:07,"I7C"
"puket",1/8/2019 6:49:14,1/8/2019 6:52:46,"I7C"
"puket",1/8/2019 7:34:57,1/8/2019 17:38:05,"I7C"
"puket",1/10/2019 7:58:08,1/10/2019 8:05:46,"I7C"
"puket",1/10/2019 15:49:08,1/10/2019 15:56:28,"I7C"
"puket",1/14/2019 13:31:54,1/14/2019 13:32:30,"I7C"
"puket",1/14/2019 13:41:16,1/14/2019 13:49:06,"I7C"
"puket",1/15/2019 11:31:04,1/15/2019 11:31:47,"I7C"
"puket",1/18/2019 8:27:45,1/18/2019 8:27:48,"I7C"
"puket",1/18/2019 9:38:05,1/18/2019 9:41:58,"I7C"
"puket",1/18/2019 14:32:04,1/18/2019 14:35:00,"I7C"
"puket",1/19/2019 12:40:59,1/19/2019 12:44:57,"I7C"
"puket",1/20/2019 7:33:47,1/20/2019 7:34:02,"I7C"
"puket",1/20/2019 9:16:27,1/20/2019 9:30:15,"I7C"
"puket",1/21/2019 6:08:40,1/21/2019 6:09:40,"I7C"
"puket",1/21/2019 6:12:51,1/21/2019 6:14:43,"I7C"
"puket",1/21/2019 6:34:28,1/21/2019 7:05:06,"I7C"
"puket",1/21/2019 9:10:39,1/21/2019 9:11:03,"I7C"
"puket",1/21/2019 11:23:22,1/21/2019 11:24:05,"I7C"
"puket",1/21/2019 11:40:42,1/21/2019 13:36:35,"I7C"
"puket",1/22/2019 7:11:23,1/22/2019 7:12:26,"I7C"
"puket",1/22/2019 7:12:33,1/22/2019 7:17:07,"I7C"
"puket",1/22/2019 7:52:49,1/22/2019 7:54:58,"I7C"
"puket",1/22/2019 9:42:19,1/22/2019 14:32:18,"I7C"
"puket",1/23/2019 10:54:09,1/23/2019 10:56:28,"I7C"
"puket",1/24/2019 7:38:21,1/24/2019 12:56:14,"I7C"
"puket",1/25/2019 8:22:54,1/25/2019 19:27:39,"I7C"
"puket",1/26/2019 9:33:34,1/26/2019 9:33:36,"I7C"
"puket",1/28/2019 6:46:21,1/28/2019 7:02:29,"I7C"
"puket",1/28/2019 7:08:11,1/28/2019 7:52:48,"I7C"
"puket",1/28/2019 7:52:53,1/28/2019 7:53:11,"I7C"
"puket",1/28/2019 8:20:26,1/28/2019 8:24:00,"I7C"
"puket",1/28/2019 13:28:40,1/28/2019 16:06:52,"I7C"
"puket",1/29/2019 6:51:26,1/29/2019 15:35:33,"I7C"
"puket",1/31/2019 8:44:27,1/31/2019 8:47:31,"I7C"
"puket",2/5/2019 7:14:02,2/5/2019 7:52:10,"I7C"
