"YearOfChange","ChangeDescription","APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName_Old","EnglishName","common_name_pb","Notes_on_names","ShortenedGuideName","Native","Codetype","Province","ID","TaxonLevel","IsAttribute","Report","SplCode_calc","Codelength","CombinedEnglishName"
"2019pb","Accepted name in Vascan but syn of ABIELAS here.","PINACEA","PINACEA","ABIEBIF","ABIELAS","ABIELAS",,"Abies bifolia",1,"A. Murray",,,,,,"N","S","BC",24050,"spp",0,0,"ABIEBIF",5,
,,"PINACEA","PINACEA","ABIELAS","ABIELAS","ABIELAS","Bl","Abies lasiocarpa",1,"(Hook.) Nutt.","subalpine fir","subalpine fir","subalpine fir","Agrees with Vascan, Natureserve",,"N","U","BC",13684,"spp",0,1,"ABIELAS",5,
"2019Oct","Set back to synonym","PINACEA","PINACEA","ABIELAS1","ABIELAS","ABIELAS","Blc","Abies lasiocarpa var. lasiocarpa",1,"(Hook.) Nutt.","subalpine fir","coast subalpine fir","subalpine fir","Agrees with Vascan, Natureserve. FNA has a separate species",,"N","S","BC",24049,"var",0,1,"ABIELAS",5,
,,,"ACAROSO","ACARSCH","ACARSCH","ACARSCH",,"Acarospora schleicheri",15,"(Ach.) A. Massal.","soil paint lichen","yellow soil paint lichen",,"Keys to only yellow soil lichen",,"N","U","BC",22142,"spp",0,1,"ACARSCH",10,
,,,"NOTUSED","ACARSUB","ACARSCH","ACARSCH",,"Acarospora subalbida",15,"H. Magn.",,,,,,,"S","BC",22145,"spp",0,0,"ACARSUB",10,
,,,"NOTUSED","ACARSUC","ACARSCH","ACARSCH",,"Acarospora subcontigua",15,"H. Magn.",,,,,,,"S","BC",22146,"spp",0,0,"ACARSUB",10,
,,,"NOTUSED","ACARXAN","ACARSCH","ACARSCH",,"Acarospora xanthophana",15,"(Nyl.) Jatta",,,,,,,"S","BC",22149,"spp",0,0,"ACARXAN",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARSIM","ACARSIM","ACARSIM",,"Acarospora similis",15,"H.Magn.",,"ochre cobblestone lichen",,,,"N","U","BC",1136994,"spp",0,1,"ACARSIM",10,
,,,"ACAROSO","ACARSIN","ACARSIN","ACARSIN",,"Acarospora sinopica",15,"(Wahlenb.) Körber","Sinoper's cobblestone lichen","ochre cobblestone lichen",,"PB made up name",,"N","U","BC",22143,"spp",0,1,"ACARSIN",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARSMA","ACARSMA","ACARSMA",,"Acarospora smaragdula",15,"(Wahlenb.) A.Massal.",,"ochre cobblestone lichen",,,,"N","U","BC",1136995,"spp",0,1,"ACARSMA",10,
